,CD8,FE2,CE3,CE6,CF1,FF3,FF4,CF5,FG3,CH1,FH2,CH3,CI2,CI3,CJ2,CJ3,FJ5,FJ6,CP1,FP3,FP4,CT2,CT3,FT4,FT5,FT6
TRINITY_DN7977_c0_g1,1,8,10,6,3,4,1,2,1,3,2,1,1,3,1,0,0,1,1,0,1,1,2,3,0,1
TRINITY_DN7978_c0_g1,0,5,8,7,6,0,0,4,1,9,1,8,0,15,1,3,1,2,3,1,1,7,4,4,1,6
TRINITY_DN7979_c0_g1,17,19,15,5,19,10,12,10,15,6,11,11,20,12,7,5,12,1,11,19,25,18,11,12,24,4
TRINITY_DN797_c0_g1,3,31,10,11,15,38,41,24,7,7,23,14,16,10,7,12,49,28,12,65,41,11,0,0,5,0
TRINITY_DN7980_c0_g1,1,5,3,2,1,0,2,2,4,5,5,1,5,6,1,5,5,0,8,12,10,3,1,4,7,4
TRINITY_DN7981_c0_g1,44,53,33,35,79,49,22,41,65,13,14,19,30,63,9,9,23,14,25,14,18,30,11,14,24,19
TRINITY_DN7982_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,6,4,5,0
TRINITY_DN7983_c0_g1,11,18,4,3,9,14,11,7,11,4,7,4,8,4,4,7,8,7,11,14,11,1,5,8,12,10
TRINITY_DN7984_c0_g1,13,9,4,2,8,5,5,5,5,4,4,3,3,8,3,0,8,1,4,10,20,4,2,6,13,6
TRINITY_DN7985_c0_g1,9,11,14,5,1,2,1,2,1,4,1,1,2,13,3,6,5,2,3,3,5,4,7,6,9,10
TRINITY_DN7986_c0_g1,3,1,3,1,3,0,2,3,2,2,2,6,2,3,3,4,1,1,2,3,3,1,2,4,1,2
TRINITY_DN7987_c0_g1,25,5,4,16,10,23,27,19,20,14,5,8,12,22,29,20,27,22,6,28,29,16,15,19,14,34
TRINITY_DN7988_c0_g1,5,8,0,3,3,1,0,7,0,2,0,2,1,2,1,6,1,0,6,6,3,0,3,1,2,2
TRINITY_DN7989_c0_g1,3,2,2,2,3,0,3,2,0,1,1,2,2,6,2,0,0,0,1,0,0,1,1,4,2,1
TRINITY_DN7990_c0_g1,1,4,2,1,3,3,5,2,1,2,2,4,5,1,0,7,1,1,1,6,3,0,2,2,3,3
TRINITY_DN7991_c0_g1,20,161,26,23,26,48,60,26,13,19,41,19,6,13,7,5,9,6,18,121,135,8,7,19,14,15
TRINITY_DN7992_c0_g1,11,13,7,3,9,4,13,12,7,3,6,8,7,6,3,3,8,7,2,6,3,3,3,3,15,4
TRINITY_DN7993_c0_g1,23,4,2,4,16,3,7,10,2,11,4,14,4,14,3,9,4,7,5,8,4,4,1,4,3,5
TRINITY_DN7994_c0_g1,44,33,46,30,15,25,29,42,30,37,19,42,28,29,36,12,18,31,27,36,33,29,23,27,38,48
TRINITY_DN7995_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,0,0,0,0,0,0,1,15,3,5,12
TRINITY_DN7997_c0_g1,10,10,2,1,1,5,4,1,3,2,2,2,7,4,0,3,6,3,3,6,7,2,1,5,7,1
TRINITY_DN7998_c0_g1,6,18,29,36,16,4,26,9,17,9,22,22,18,54,4,7,9,3,4,6,10,38,16,12,26,9
TRINITY_DN7999_c0_g1,2,1,1,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,1,1,1,1,1,3,2,2
TRINITY_DN799_c0_g1,1,8,5,2,4,10,8,4,10,2,6,5,7,1,0,0,1,5,4,2,1,6,4,13,27,18
TRINITY_DN79_c0_g1,103,478,62,33,68,339,370,91,304,33,302,87,71,94,63,41,260,173,70,383,376,61,62,219,320,275
TRINITY_DN8000_c0_g1,4,4,0,3,2,1,3,3,5,1,3,0,3,5,4,1,9,2,1,6,13,3,3,7,5,4
TRINITY_DN8001_c0_g1,12,9,7,9,4,11,5,5,7,1,3,9,5,2,3,2,9,1,7,11,7,4,5,10,13,9
TRINITY_DN8002_c0_g1,14,63,10,5,12,65,63,15,30,8,26,20,36,10,4,3,9,7,10,20,27,9,3,6,38,16
TRINITY_DN8003_c0_g1,5,7,20,9,8,2,2,7,1,5,9,11,6,58,2,4,11,10,45,12,28,10,2,8,17,17
TRINITY_DN8004_c0_g1,7,8,1,0,8,18,21,8,0,4,3,7,1,0,6,3,4,1,7,20,11,7,1,6,3,5
TRINITY_DN8005_c0_g1,6,6,6,8,3,1,1,10,4,4,6,5,2,3,1,0,9,3,5,11,12,3,1,1,6,6
TRINITY_DN8006_c0_g1,3,0,8,2,10,2,5,2,0,5,0,5,6,8,3,7,2,0,4,1,4,5,3,1,3,3
TRINITY_DN8007_c0_g1,11,8,5,6,12,3,4,7,6,2,1,7,8,15,5,4,5,2,8,8,8,2,1,1,8,4
TRINITY_DN8008_c0_g1,3,5,5,7,1,0,0,0,1,8,4,13,9,0,1,2,1,1,1,1,1,0,0,2,0,1
TRINITY_DN8009_c0_g1,0,0,0,1,0,0,0,0,38,5,8,10,10,0,4,5,17,26,0,0,0,0,0,0,0,0
TRINITY_DN800_c0_g1,32,36,20,9,30,47,41,14,11,12,8,15,32,28,7,14,37,19,4,29,28,12,14,22,22,22
TRINITY_DN8010_c0_g1,5,2,5,1,8,0,0,8,3,2,2,3,16,10,11,3,4,0,7,0,0,7,3,3,1,0
TRINITY_DN8011_c0_g1,1,3,1,2,4,10,3,4,5,1,3,4,4,0,2,4,0,1,1,1,4,4,4,8,3,9
TRINITY_DN8012_c0_g1,11,2,67,18,44,1,1,52,1,41,2,86,39,45,8,18,3,1,15,1,2,14,15,6,6,9
TRINITY_DN8013_c0_g1,4,6,1,1,8,1,0,3,2,6,2,10,6,12,1,5,0,0,2,0,0,5,4,0,2,0
TRINITY_DN8014_c0_g1,3,12,1,6,3,4,11,5,9,4,11,3,4,4,4,2,18,7,0,7,5,6,1,9,13,19
TRINITY_DN8015_c0_g1,0,1,1,0,1,0,0,1,0,2,5,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0
TRINITY_DN8016_c0_g1,108,89,74,38,36,52,37,56,62,30,26,67,51,70,30,31,33,29,53,65,51,48,46,55,85,59
TRINITY_DN8017_c0_g1,61,49,59,39,42,28,28,29,12,27,14,50,27,47,21,18,29,11,17,27,31,23,14,18,20,16
TRINITY_DN8018_c0_g1,0,2,1,0,2,3,5,1,0,1,1,1,0,2,1,3,1,1,1,5,3,1,1,3,0,4
TRINITY_DN8019_c0_g1,1,12,9,6,3,6,3,1,7,7,6,6,4,7,1,3,8,10,3,23,15,3,7,7,19,5
TRINITY_DN801_c0_g1,33,27,20,16,22,25,36,37,18,17,16,19,14,28,16,11,27,34,14,35,43,8,13,27,23,43
TRINITY_DN8020_c0_g1,3,2,9,1,1,3,3,4,1,3,2,7,14,3,8,6,6,0,4,4,6,6,5,1,4,3
TRINITY_DN8021_c0_g1,56,133,35,20,56,145,139,61,107,26,112,50,80,65,52,41,125,71,37,103,125,40,30,95,139,136
TRINITY_DN8022_c0_g1,9,6,6,2,6,6,2,2,6,3,5,6,6,4,2,4,5,1,4,2,7,3,1,0,4,5
TRINITY_DN8024_c0_g1,544,561,284,225,271,408,324,375,485,108,354,230,412,449,173,221,494,217,224,222,260,181,129,196,560,310
TRINITY_DN8025_c0_g1,37,6,3,3,12,10,15,11,7,7,6,11,7,16,11,10,16,18,7,6,13,13,5,3,3,1
TRINITY_DN8026_c0_g1,0,0,0,0,14,0,1,6,0,0,0,0,0,0,34,10,1,42,0,0,0,0,0,0,0,0
TRINITY_DN8027_c0_g1,2,16,1,2,2,6,8,3,3,1,5,6,1,2,1,1,25,6,2,2,4,4,2,1,2,0
TRINITY_DN8028_c0_g1,0,1,0,10,5,1,0,1,0,0,1,0,159,0,0,0,1,0,0,1,0,1,4,0,9,1
TRINITY_DN8029_c0_g1,3,6,0,0,1,8,3,1,5,2,2,1,0,1,0,0,1,1,1,3,5,1,0,5,2,4
TRINITY_DN8030_c0_g1,3,4,2,2,5,2,0,3,2,1,1,0,2,5,0,0,2,2,6,0,1,0,2,0,3,4
TRINITY_DN8031_c0_g1,12,36,13,4,15,42,74,15,23,15,31,13,24,15,14,23,47,40,17,95,78,7,7,21,29,24
TRINITY_DN8032_c0_g1,2,4,2,0,2,8,3,4,2,4,6,1,1,0,2,6,6,5,0,0,1,1,2,6,4,6
TRINITY_DN8033_c0_g1,55,55,28,21,29,28,26,41,23,25,25,39,65,55,31,15,32,20,29,37,37,27,18,34,37,34
TRINITY_DN8034_c0_g1,7,85,15,7,3,51,46,10,26,8,25,5,4,5,1,3,61,42,2,56,50,10,7,45,62,58
TRINITY_DN8035_c0_g1,26,4,11,6,12,3,3,16,4,12,0,16,6,16,14,5,3,3,16,11,7,18,9,6,3,8
TRINITY_DN8036_c0_g1,110,133,82,45,88,55,75,85,71,67,103,106,92,122,43,63,77,51,73,97,106,61,38,65,96,63
TRINITY_DN8037_c0_g1,47,5,1,8,8,2,2,18,1,45,26,67,75,41,43,26,13,11,84,9,14,22,51,24,23,27
TRINITY_DN8038_c0_g1,10,16,17,3,5,0,0,3,2,8,0,5,5,7,0,3,4,3,11,1,2,4,7,1,3,0
TRINITY_DN8039_c0_g1,386,495,297,371,488,391,255,306,453,212,127,157,312,455,79,113,226,103,164,159,226,216,75,131,157,138
TRINITY_DN803_c0_g1,10,9,6,14,4,3,3,2,2,10,3,12,4,13,1,4,8,6,7,11,5,14,2,22,25,21
TRINITY_DN8040_c0_g1,36,26,51,28,65,19,13,52,19,35,5,54,65,82,21,19,8,5,14,14,14,38,21,9,20,16
TRINITY_DN8041_c0_g1,9,0,0,0,0,0,0,0,6,0,0,0,0,0,5,7,26,16,0,0,0,0,0,0,0,0
TRINITY_DN8042_c0_g1,3,29,8,5,12,13,22,15,14,3,7,13,7,19,5,9,14,15,7,29,25,7,3,17,9,11
TRINITY_DN8043_c0_g1,3,5,2,1,3,2,2,3,4,2,4,4,4,6,6,2,4,4,2,5,7,3,2,5,9,4
TRINITY_DN8044_c0_g1,1,0,1,1,4,2,1,5,3,0,0,0,2,2,0,0,0,0,2,9,5,0,2,5,3,3
TRINITY_DN8045_c0_g1,9,4,2,8,7,4,7,8,6,5,2,3,4,4,3,3,9,4,2,8,6,2,2,2,6,4
TRINITY_DN8046_c0_g1,19,23,7,10,13,24,22,20,22,7,18,15,26,25,20,18,40,14,29,28,32,13,10,12,31,17
TRINITY_DN8047_c0_g1,1,0,0,0,11,8,8,12,5,2,3,3,0,3,1,2,6,7,0,9,4,2,2,2,4,7
TRINITY_DN8048_c0_g1,4,6,2,1,2,6,6,6,2,5,3,3,2,4,2,2,5,2,6,13,9,6,1,5,5,3
TRINITY_DN8049_c0_g1,3,12,6,6,8,1,4,7,8,5,5,7,9,12,3,7,3,1,7,3,1,4,8,0,5,6
TRINITY_DN804_c0_g1,13,12,5,3,4,13,10,16,11,2,4,3,5,8,2,8,12,3,6,11,16,4,1,2,9,6
TRINITY_DN8050_c0_g1,49,5,15,3,23,12,7,25,20,12,11,35,3,31,10,16,9,3,8,0,2,18,8,8,7,3
TRINITY_DN8051_c0_g1,17,18,10,4,13,17,14,16,12,12,17,17,12,27,5,6,15,6,11,34,32,6,7,12,25,14
TRINITY_DN8052_c0_g1,7,1,3,3,2,3,2,2,5,2,5,3,3,5,4,4,1,3,0,3,7,1,4,2,3,6
TRINITY_DN8053_c0_g1,5,2,0,2,2,0,2,6,8,2,0,3,3,4,4,1,1,2,4,2,2,2,0,1,1,1
TRINITY_DN8054_c0_g1,28,37,30,14,16,32,32,16,32,31,30,37,44,0,0,0,0,0,5,21,7,9,0,0,0,0
TRINITY_DN8055_c0_g1,9,9,3,2,4,8,8,7,10,3,9,6,8,3,5,3,5,3,0,13,16,1,5,3,1,3
TRINITY_DN8056_c0_g1,6,9,3,2,0,2,1,2,5,4,5,3,0,2,1,0,3,4,2,5,7,1,2,4,7,1
TRINITY_DN8057_c0_g1,5,4,4,1,5,4,5,5,5,1,2,6,3,6,1,2,1,4,1,1,1,2,2,8,10,8
TRINITY_DN8058_c0_g1,13,14,7,4,11,23,16,16,11,12,23,13,15,12,4,15,11,7,11,16,7,13,12,14,13,18
TRINITY_DN8059_c0_g1,11,0,4,3,6,1,0,11,1,1,0,3,9,1,2,4,6,0,3,1,3,5,4,2,2,2
TRINITY_DN805_c0_g1,10,11,5,8,9,7,13,11,9,6,0,5,16,12,7,12,15,4,13,16,12,5,5,6,6,5
TRINITY_DN8060_c0_g1,4,1,3,1,5,2,1,7,0,2,1,2,5,1,5,0,2,1,2,4,1,7,6,2,2,0
TRINITY_DN8061_c0_g1,14,31,11,5,6,18,16,8,15,7,9,8,18,9,2,8,26,14,9,28,12,3,9,5,14,14
TRINITY_DN8062_c0_g1,3,14,2,7,4,3,2,4,2,4,4,5,5,5,1,3,7,2,2,7,4,7,3,4,7,5
TRINITY_DN8063_c0_g1,36,21,11,9,20,11,11,23,14,19,5,16,18,27,10,11,13,8,27,34,33,14,5,10,13,17
TRINITY_DN8064_c0_g1,15,71,14,13,14,40,49,24,32,20,29,28,35,24,9,24,32,44,17,73,73,8,26,36,39,58
TRINITY_DN8065_c0_g1,5,3,4,4,4,2,1,4,0,5,2,5,7,6,3,5,7,3,8,3,6,3,2,0,5,0
TRINITY_DN8066_c0_g1,11,4,8,10,9,4,4,7,1,7,2,7,7,8,10,20,5,1,5,5,3,2,8,3,7,4
TRINITY_DN8067_c0_g1,39,48,22,16,44,27,41,32,39,27,45,33,50,42,24,26,42,36,11,43,31,18,39,7,20,18
TRINITY_DN8068_c0_g1,2,28,7,5,3,25,18,6,13,1,9,5,0,5,2,6,14,10,2,20,27,5,4,18,26,15
TRINITY_DN8070_c0_g1,9,16,16,16,22,11,17,18,14,19,13,18,15,12,11,13,9,10,11,19,17,9,9,7,10,15
TRINITY_DN8071_c0_g1,20,50,28,24,32,20,23,29,28,28,21,36,70,49,84,65,61,53,27,43,37,34,35,21,37,27
TRINITY_DN8072_c0_g1,2,2,0,1,2,2,1,2,2,1,4,6,3,1,2,3,3,0,0,0,0,1,5,2,6,6
TRINITY_DN8073_c0_g1,12,6,4,8,8,2,0,6,0,2,2,3,1,7,2,5,10,2,3,7,4,14,3,2,1,3
TRINITY_DN8074_c0_g1,9,14,2,6,4,18,17,9,15,3,12,6,12,14,3,4,14,5,7,11,20,5,4,4,16,8
TRINITY_DN8075_c0_g1,7,11,3,3,1,7,6,13,4,3,8,9,12,5,3,5,9,4,7,6,11,2,2,4,20,7
TRINITY_DN8076_c0_g1,0,2,0,1,2,1,4,3,3,1,1,4,2,3,4,1,6,1,1,3,1,1,0,0,2,5
TRINITY_DN8077_c0_g1,64,107,41,41,55,97,85,64,60,22,61,53,58,67,25,30,76,29,56,87,72,26,27,25,102,52
TRINITY_DN8078_c0_g1,8,6,5,4,3,6,5,3,3,10,3,10,4,6,1,1,3,5,2,14,9,4,3,2,10,7
TRINITY_DN8079_c0_g1,4,24,4,3,6,24,32,5,13,7,7,6,13,12,5,5,24,18,8,16,19,7,6,9,30,20
TRINITY_DN807_c0_g1,10,5,11,1,4,16,8,4,10,7,5,9,4,9,4,2,8,10,6,14,18,0,2,8,10,9
TRINITY_DN8080_c0_g1,5,6,9,2,4,0,2,0,2,3,1,2,4,6,4,4,5,4,4,3,2,2,3,2,5,13
TRINITY_DN8081_c0_g1,26,4,4,20,11,4,4,8,7,9,1,4,5,7,15,13,8,19,13,23,21,6,12,7,19,15
TRINITY_DN8082_c0_g1,3,11,3,1,4,8,5,5,8,7,5,5,4,5,0,0,2,3,3,4,14,5,2,12,4,2
TRINITY_DN8083_c0_g1,26,22,28,9,7,25,25,16,22,14,34,21,39,36,7,16,12,15,31,16,30,12,5,7,28,11
TRINITY_DN8084_c0_g1,4,4,3,2,2,2,1,5,6,4,2,2,2,3,1,3,4,4,0,8,14,5,1,0,1,2
TRINITY_DN8085_c0_g1,14,12,5,6,8,6,9,5,11,5,5,12,14,11,5,5,8,6,9,8,9,11,7,7,13,6
TRINITY_DN8086_c0_g1,15,27,17,9,13,18,25,23,15,24,15,22,45,26,12,13,22,16,16,16,13,15,5,2,8,9
TRINITY_DN8087_c0_g1,20,14,12,7,9,13,17,11,8,3,5,6,24,18,2,4,11,3,9,9,17,4,1,1,10,3
TRINITY_DN8088_c0_g1,0,0,0,0,1,0,0,0,0,0,0,0,12,50,7,0,0,0,0,0,0,0,40,11,33,38
TRINITY_DN8089_c0_g1,5,6,6,2,8,1,1,7,0,0,1,0,3,9,0,0,0,0,7,3,1,3,3,1,0,0
TRINITY_DN808_c0_g1,65,16,16,22,29,8,7,31,14,25,7,45,38,62,25,35,35,11,21,3,2,22,18,7,16,12
TRINITY_DN8090_c0_g1,7,9,3,5,3,1,3,5,3,2,5,3,4,8,0,1,4,0,1,0,1,4,1,5,7,4
TRINITY_DN8091_c0_g1,10,30,10,8,5,19,20,8,23,3,20,12,15,16,6,4,17,12,11,26,26,10,3,18,21,12
TRINITY_DN8092_c0_g1,0,0,0,0,2,0,0,3,0,3,0,5,1,2,1,2,0,0,0,0,1,0,0,0,1,0
TRINITY_DN8093_c0_g1,11,6,12,11,8,7,3,10,6,8,2,10,13,7,3,1,4,0,8,5,1,6,1,0,6,3
TRINITY_DN8094_c0_g1,3,2,4,0,0,3,8,1,3,4,2,1,4,3,6,5,7,3,2,2,12,4,1,0,5,3
TRINITY_DN8095_c0_g1,1,3,0,0,0,0,1,1,1,0,0,1,2,3,3,1,3,1,0,1,4,1,0,1,3,2
TRINITY_DN8096_c1_g1,15,13,3,9,5,4,7,3,5,4,11,4,7,7,2,1,3,3,7,8,7,3,10,1,10,8
TRINITY_DN8097_c0_g1,16,5,7,6,17,11,11,16,18,6,7,10,23,26,7,6,6,3,23,14,12,11,5,0,8,4
TRINITY_DN8098_c0_g1,12,0,1,1,3,0,2,3,1,1,0,2,1,7,1,0,0,0,1,0,0,1,1,0,1,1
TRINITY_DN8099_c0_g1,2,16,3,0,0,3,5,2,5,0,6,3,2,2,0,1,9,2,0,4,5,1,0,2,6,7
TRINITY_DN809_c0_g1,38,14,20,24,39,19,39,33,16,23,24,38,27,20,18,20,35,27,20,25,22,25,24,32,37,45
TRINITY_DN80_c0_g1,42,33,25,25,49,25,28,38,30,23,14,27,31,60,24,26,61,37,25,54,49,41,26,23,32,54
TRINITY_DN8100_c0_g1,23,56,28,27,28,10,12,22,18,32,22,22,27,34,17,21,27,8,17,16,12,27,7,17,15,15
TRINITY_DN8101_c0_g1,6,5,4,9,22,7,8,6,2,2,3,4,9,10,5,1,4,6,26,19,17,3,3,6,10,4
TRINITY_DN8102_c0_g1,6,10,3,6,9,9,10,5,10,2,8,6,5,5,0,3,9,6,3,9,12,4,2,9,5,6
TRINITY_DN8103_c0_g1,10,5,2,5,4,7,8,7,11,2,2,3,4,10,0,0,9,6,4,5,4,6,2,9,4,9
TRINITY_DN8104_c0_g1,21,0,0,0,19,8,11,25,7,2,1,6,5,21,0,0,0,0,8,7,20,6,4,12,12,12
TRINITY_DN8105_c0_g1,3,30,3,4,5,17,26,6,7,1,7,4,6,4,0,1,11,11,2,21,14,4,0,8,6,7
TRINITY_DN8106_c0_g1,0,0,0,6,1,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,1,5,0,0,2
TRINITY_DN8107_c0_g1,3,9,10,3,11,4,7,18,2,5,6,4,14,4,20,21,9,10,5,4,16,2,2,6,1,3
TRINITY_DN8108_c0_g1,4,1,1,1,2,9,4,3,0,0,2,3,0,2,1,0,4,1,1,3,3,1,1,2,3,0
TRINITY_DN8109_c0_g1,1,2,1,0,0,3,4,2,21,1,0,0,1,3,0,0,2,2,3,8,9,0,1,7,6,10
TRINITY_DN8110_c0_g1,3,5,2,0,3,2,3,7,5,6,2,10,8,3,1,3,3,0,1,2,1,5,3,4,2,5
TRINITY_DN8111_c0_g1,11,0,0,0,11,8,7,12,19,9,5,12,0,0,0,0,0,0,3,2,3,0,5,5,4,5
TRINITY_DN8112_c0_g1,0,3,1,3,0,2,0,2,1,2,1,0,7,0,2,1,1,2,3,1,0,0,4,11,13,5
TRINITY_DN8113_c0_g1,2,17,3,3,5,12,18,3,12,1,12,8,6,4,2,1,4,4,5,22,12,4,6,8,16,12
TRINITY_DN8114_c0_g1,3,6,1,1,3,5,5,5,4,3,8,4,3,1,1,0,0,1,0,3,6,0,0,0,6,4
TRINITY_DN8115_c0_g1,0,23,0,44,11,24,0,14,0,0,0,0,0,0,0,0,6,7,7,32,0,0,0,0,0,0
TRINITY_DN8116_c0_g1,2,15,7,1,5,6,4,5,10,3,1,1,2,4,0,3,23,5,5,16,14,1,3,8,6,8
TRINITY_DN8118_c0_g1,19,22,23,13,11,4,3,10,9,7,4,12,19,18,35,34,42,21,7,14,11,6,14,8,22,17
TRINITY_DN8119_c0_g1,89,75,51,29,70,41,39,69,54,34,37,61,104,65,27,38,47,26,46,39,55,41,32,34,61,69
TRINITY_DN811_c0_g1,14,119,3,12,2,287,694,9,33,0,43,0,6,5,2,1,284,113,6,93,126,0,4,23,57,49
TRINITY_DN8120_c0_g1,2,7,6,1,2,6,3,4,4,0,1,3,10,6,0,1,7,6,5,8,7,1,3,1,4,4
TRINITY_DN8122_c0_g1,16,102,18,13,29,76,95,17,48,13,49,35,22,13,17,17,67,43,14,54,60,23,12,45,66,41
TRINITY_DN8123_c0_g1,10,8,8,2,6,12,22,7,6,2,8,5,6,6,5,1,8,9,17,15,12,0,2,7,2,4
TRINITY_DN8124_c0_g1,4,4,4,0,1,4,5,8,2,2,3,1,2,5,0,2,4,1,0,2,4,2,1,1,3,2
TRINITY_DN8125_c0_g1,74,25,22,22,28,13,23,24,13,16,4,27,37,68,31,34,34,45,30,37,37,47,17,7,14,16
TRINITY_DN8126_c0_g1,20,19,7,7,4,12,10,4,11,10,18,4,14,8,6,5,18,12,6,17,18,7,4,13,24,19
TRINITY_DN8127_c0_g1,0,1,0,0,0,1,0,2,5,0,0,0,1,0,1,0,5,2,1,0,2,4,0,5,4,1
TRINITY_DN8128_c0_g1,15,17,8,2,5,10,4,11,14,2,21,6,2,14,4,5,18,2,3,6,9,3,3,10,23,4
TRINITY_DN8129_c0_g1,96,34,30,32,67,42,48,66,8,24,22,19,52,58,22,43,48,14,44,20,36,27,18,14,33,19
TRINITY_DN812_c0_g1,89,162,99,35,35,93,84,115,63,40,69,54,72,87,55,48,123,49,58,114,114,42,22,60,118,78
TRINITY_DN8131_c0_g1,4,2,2,0,1,9,5,8,3,0,2,2,2,3,0,2,2,0,0,2,4,3,0,2,0,0
TRINITY_DN8132_c0_g1,2,12,0,0,0,9,18,0,6,0,5,0,2,1,1,0,9,5,0,7,6,1,1,6,12,6
TRINITY_DN8133_c0_g1,10,4,6,2,2,2,1,2,4,0,0,1,6,5,3,2,2,1,2,2,2,5,0,1,0,2
TRINITY_DN8134_c0_g1,0,18,0,31,4,8,0,4,0,0,0,0,0,0,0,0,3,2,1,11,0,0,0,0,0,0
TRINITY_DN8135_c0_g1,61,59,39,34,44,78,95,65,53,19,36,54,59,67,13,19,51,9,32,49,51,42,36,32,85,34
TRINITY_DN8136_c0_g1,6,0,4,4,26,0,0,22,0,7,1,11,5,14,0,1,2,0,0,1,0,0,0,0,1,0
TRINITY_DN8137_c0_g1,7,27,5,0,15,28,22,9,13,4,15,4,11,11,5,9,18,16,8,26,24,6,8,7,17,16
TRINITY_DN8138_c0_g1,35,5,84,30,73,6,10,42,2,82,1,128,94,90,41,52,29,16,26,6,4,15,23,10,9,36
TRINITY_DN8139_c0_g1,4,16,2,3,1,9,11,3,5,7,12,3,17,11,4,3,7,4,13,14,15,2,8,13,13,25
TRINITY_DN813_c0_g1,96,0,21,9,42,8,0,89,1,16,4,25,37,61,7,11,0,0,13,0,1,9,8,0,2,3
TRINITY_DN8140_c0_g1,32,8,5,1,7,4,6,12,6,5,7,6,6,20,12,14,15,7,17,6,9,9,14,19,22,18
TRINITY_DN8141_c0_g1,18,10,14,9,9,5,3,5,6,8,5,13,9,9,5,7,9,4,13,8,10,15,5,9,10,7
TRINITY_DN8142_c0_g1,2,2,1,0,14,0,0,11,1,0,0,3,2,3,10,12,4,3,2,0,1,0,1,1,0,1
TRINITY_DN8143_c0_g1,14,21,13,9,26,22,16,14,16,1,6,3,5,8,0,6,12,4,1,3,1,5,5,4,20,7
TRINITY_DN8144_c0_g1,2,11,6,1,10,4,11,4,8,5,7,10,2,4,2,2,8,3,2,5,8,2,2,9,3,3
TRINITY_DN8145_c0_g1,0,3,2,0,2,0,0,5,0,2,0,1,1,4,2,3,7,1,1,5,9,1,1,1,0,0
TRINITY_DN8146_c0_g1,16,62,40,35,99,29,54,60,31,41,38,26,51,30,16,24,42,16,27,67,53,11,30,19,41,60
TRINITY_DN8147_c0_g1,5,7,4,1,4,0,3,4,5,6,6,7,9,7,2,1,2,1,2,2,1,1,0,5,6,2
TRINITY_DN8148_c0_g1,61,87,20,28,41,54,86,45,75,24,30,35,44,50,16,35,121,34,39,109,87,14,23,32,69,51
TRINITY_DN8149_c0_g1,2,10,3,4,1,8,13,7,7,0,4,0,5,8,2,1,6,7,3,16,17,3,2,6,13,10
TRINITY_DN814_c0_g1,12,9,12,11,8,0,0,7,0,11,1,13,14,8,3,8,3,1,4,0,2,5,9,3,2,3
TRINITY_DN8150_c0_g1,1,3,0,0,0,3,0,0,1,1,1,1,1,0,0,0,3,3,1,0,2,0,0,1,4,1
TRINITY_DN8151_c0_g1,10,0,5,1,8,5,6,10,4,3,3,1,6,11,3,1,5,5,3,7,15,2,2,1,3,4
TRINITY_DN8152_c0_g1,12,8,8,7,4,0,0,4,5,0,0,0,13,0,21,11,22,8,0,3,3,15,0,0,0,0
TRINITY_DN8153_c0_g1,14,6,7,1,9,6,6,6,6,5,9,8,7,11,8,6,9,6,7,12,4,6,10,8,12,14
TRINITY_DN8154_c0_g1,12,68,14,5,13,91,57,24,48,8,36,12,10,23,5,6,76,18,12,76,67,9,7,8,34,20
TRINITY_DN8155_c0_g1,3,9,9,2,8,6,8,11,11,2,4,8,6,7,3,3,3,2,3,9,9,10,4,6,10,3
TRINITY_DN8156_c0_g1,8,7,2,7,4,8,15,10,15,4,4,5,4,9,5,4,3,4,3,10,9,6,6,8,7,10
TRINITY_DN8157_c0_g1,3,168,0,596,251,176,1,373,0,1,0,1,6,2,0,21,91,72,95,185,0,191,1305,0,4,132
TRINITY_DN8158_c0_g1,1,8,1,1,0,6,5,1,2,5,47,5,2,1,4,9,30,41,1,9,6,0,0,2,4,1
TRINITY_DN8159_c0_g1,88,45,29,50,48,11,13,43,23,33,44,63,40,49,25,23,19,12,46,65,58,40,11,28,26,29
TRINITY_DN815_c0_g1,25,28,17,19,35,29,24,25,31,27,13,32,77,35,11,16,12,9,31,79,65,21,9,17,24,26
TRINITY_DN8160_c0_g1,164,114,62,70,131,94,111,135,132,113,99,156,150,136,113,91,144,135,143,153,185,108,106,189,211,201
TRINITY_DN8161_c0_g1,17,22,8,5,12,12,13,25,17,10,15,18,15,18,12,10,15,9,9,19,14,7,13,10,17,16
TRINITY_DN8162_c0_g1,3,2,2,2,3,1,3,1,0,1,2,2,1,6,1,2,10,0,1,2,0,5,0,1,0,0
TRINITY_DN8163_c0_g1,4,4,0,1,3,2,3,1,2,4,3,1,4,2,4,1,8,2,1,5,6,1,2,4,5,2
TRINITY_DN8164_c0_g1,4,21,3,3,2,11,10,8,12,2,5,5,11,9,2,11,14,7,3,12,7,4,4,7,12,14
TRINITY_DN8165_c0_g1,44,4,3,5,12,30,38,18,1,3,4,9,4,0,14,9,19,31,21,30,34,0,8,13,11,14
TRINITY_DN8166_c0_g1,7,9,4,5,2,12,12,5,13,3,8,5,7,1,6,2,13,6,3,13,15,8,1,11,11,9
